Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD
UP000001805	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	367110	10255	C:99.2%[S:87.5%,D:11.7%],F:0.2%,M:0.5%,n:3817	Unknown
UP000001861	Coprinopsis cinerea (strain Okayama-7 / 130 / ATCC MYA-4618 / FGSC 9003) (Inky cap fungus) (Hormographiella aspergillata)	240176	13335	C:95.8%[S:95.2%,D:0.6%],F:2.1%,M:2.1%,n:3870	Unknown
UP000001881	Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell)	771870	9890	C:96.4%[S:96.2%,D:0.2%],F:1.3%,M:2.4%,n:3817	Unknown
UP000001996	Lodderomyces elongisporus (strain ATCC 11503 / CBS 2605 / JCM 1781 / NBRC 1676 / NRRL YB-4239) (Yeast) (Saccharomyces elongisporus)	379508	5779	C:92.7%[S:92.2%,D:0.5%],F:4.6%,M:2.7%,n:2137	Unknown
UP000001997	Meyerozyma guilliermondii (strain ATCC 6260 / CBS 566 / DSM 6381 / JCM 1539 / NBRC 10279 / NRRL Y-324) (Yeast) (Candida guilliermondii)	294746	5919	C:93.1%[S:92.9%,D:0.2%],F:4.4%,M:2.5%,n:2137	Unknown
UP000002035	Arthroderma otae (strain ATCC MYA-4605 / CBS 113480) (Microsporum canis)	554155	8764	C:97.8%[S:97.7%,D:0.1%],F:1.2%,M:1.0%,n:4862	Unknown
UP000002036	Lachancea thermotolerans (strain ATCC 56472 / CBS 6340 / NRRL Y-8284) (Yeast) (Kluyveromyces thermotolerans)	559295	5093	C:99.8%[S:99.7%,D:0.1%],F:0.1%,M:0.1%,n:2137	Unknown
UP000002037	Candida tropicalis (strain ATCC MYA-3404 / T1) (Yeast)	294747	6226	C:94.6%[S:93.5%,D:1.0%],F:3.2%,M:2.2%,n:2137	Unknown
UP000002038	Blastomyces gilchristii (strain SLH14081) (Blastomyces dermatitidis)	559298	10303	C:97.3%[S:85.5%,D:11.8%],F:0.9%,M:1.8%,n:4862	Unknown
UP000002058	Uncinocarpus reesii (strain UAMH 1704)	336963	7760	C:85.6%[S:85.5%,D:0.2%],F:7.4%,M:7.0%,n:4862	Unknown
UP000002059	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	502779	8811	C:97.2%[S:97.1%,D:0.1%],F:1.4%,M:1.4%,n:4862	Unknown
UP000002149	Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) (Filobasidiella neoformans)	214684	6740	C:99.5%[S:96.3%,D:3.2%],F:0.2%,M:0.3%,n:4284	Unknown
UP000002258	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	322104	5797	C:98.1%[S:98.0%,D:0.0%],F:0.7%,M:1.2%,n:2137	Unknown
UP000002428	Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138) (Yeast) (Nakaseomyces glabratus)	284593	5189	C:96.6%[S:95.6%,D:1.0%],F:0.2%,M:3.1%,n:2137	Unknown
UP000002489	Fusarium oxysporum (strain Fo5176) (Fusarium vascular wilt)	660025	16626	C:88.8%[S:88.1%,D:0.7%],F:5.5%,M:5.8%,n:4494	Unknown
UP000002497	Coccidioides posadasii (strain RMSCC 757 / Silveira) (Valley fever fungus)	443226	10212	C:95.2%[S:95.1%,D:0.2%],F:2.1%,M:2.6%,n:4862	Unknown
UP000002499	Metarhizium acridum (strain CQMa 102)	655827	9830	C:95.3%[S:95.1%,D:0.2%],F:2.6%,M:2.2%,n:4494	Unknown
UP000002530	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	9647	C:96.9%[S:96.7%,D:0.2%],F:1.7%,M:1.3%,n:4191	Standard
UP000002624	Ajellomyces capsulatus (strain H143) (Darling's disease fungus) (Histoplasma capsulatum)	544712	9545	C:80.1%[S:80.1%,D:0.0%],F:9.3%,M:10.6%,n:4862	Unknown
UP000002668	Leptosphaeria maculans (strain JN3 / isolate v23.1.3 / race Av1-4-5-6-7-8) (Blackleg fungus) (Phoma lingam)	985895	12608	C:90.7%[S:90.7%,D:0.0%],F:3.5%,M:5.8%,n:6641	Unknown
UP000002669	Arthroderma gypseum (strain ATCC MYA-4604 / CBS 118893) (Microsporum gypseum)	535722	8921	C:98.5%[S:98.4%,D:0.1%],F:1.1%,M:0.4%,n:4862	Unknown
UP000002753	Saccharomyces kudriavzevii (strain ATCC MYA-4449 / AS 2.2408 / CBS 8840 / NBRC 1802 / NCYC 2889) (Yeast)	226230	3745	C:64.3%[S:63.3%,D:1.1%],F:2.3%,M:33.4%,n:2137	Outlier (low value)
UP000002762	Beauveria bassiana (strain ARSEF 2860) (White muscardine disease fungus) (Tritirachium shiotae)	655819	10363	C:98.3%[S:98.1%,D:0.2%],F:0.5%,M:1.2%,n:4494	Unknown
UP000002866	Henningerozyma blattae (strain ATCC 34711 / CBS 6284 / DSM 70876 / NBRC 10599 / NRRL Y-10934 / UCD 77-7) (Yeast) (Tetrapisispora blattae)	1071380	5385	C:97.8%[S:95.1%,D:2.8%],F:0.3%,M:1.8%,n:2137	Unknown
UP000002872	Nematocida parisii (strain ERTm3) (Nematode killer fungus)	935791	2724	C:95.0%[S:94.8%,D:0.2%],F:2.8%,M:2.2%,n:600	Unknown
UP000003163	Edhazardia aedis (strain USNM 41457) (Microsporidian parasite)	1003232	4189	C:90.7%[S:90.0%,D:0.7%],F:4.8%,M:4.5%,n:600	Unknown
UP000005206	Fusarium vanettenii (strain ATCC MYA-4622 / CBS 123669 / FGSC 9596 / NRRL 45880 / 77-13-4) (Fusarium solani subsp. pisi)	660122	15709	C:97.1%[S:96.2%,D:0.9%],F:0.6%,M:2.3%,n:4494	Unknown
UP000005220	Kazachstania africana (strain ATCC 22294 / BCRC 22015 / CBS 2517 / CECT 1963 / NBRC 1671 / NRRL Y-8276) (Yeast) (Kluyveromyces africanus)	1071382	5354	C:99.3%[S:97.6%,D:1.7%],F:0.1%,M:0.6%,n:2137	Unknown
UP000005221	Candida parapsilosis (strain CDC 317 / ATCC MYA-4646) (Yeast) (Monilia parapsilosis)	578454	5777	C:99.3%[S:99.0%,D:0.3%],F:0.2%,M:0.5%,n:2137	Unknown
UP000005222	Pichia sorbitophila (strain ATCC MYA-4447 / BCRC 22081 / CBS 7064 / NBRC 10061 / NRRL Y-12695) (Hybrid yeast)	559304	8851	C:99.4%[S:0.9%,D:98.5%],F:0.1%,M:0.4%,n:2137	Unknown
UP000005240	Puccinia triticina (isolate 1-1 / race 1 (BBBD)) (Brown leaf rust fungus)	630390	11515	C:72.1%[S:67.6%,D:4.4%],F:7.3%,M:20.6%,n:1764	Unknown
UP000005242	Wallemia mellicola (strain ATCC MYA-4683 / CBS 633.66) (Wallemia sebi (CBS 633.66))	671144	5262	C:90.6%[S:90.2%,D:0.4%],F:1.6%,M:7.8%,n:1764	Unknown
UP000005426	Hypocrea atroviridis (strain ATCC 20476 / IMI 206040) (Trichoderma atroviride)	452589	11815	C:97.9%[S:97.6%,D:0.2%],F:1.3%,M:0.9%,n:4494	Unknown
UP000005446	Glarea lozoyensis (strain ATCC 74030 / MF5533)	1104152	7926	C:32.4%[S:32.4%,D:0.0%],F:8.1%,M:59.5%,n:5177	Unknown
UP000005627	Torulaspora delbrueckii (Yeast) (Candida colliculosa)	4950	4966	C:99.9%[S:99.9%,D:0.0%],F:0.1%,M:0.0%,n:2137	Outlier (low value)
UP000005666	Tetrapisispora phaffii (strain ATCC 24235 / CBS 4417 / NBRC 1672 / NRRL Y-8282 / UCD 70-5) (Yeast) (Fabospora phaffii)	1071381	5238	C:99.5%[S:97.1%,D:2.5%],F:0.2%,M:0.3%,n:2137	Unknown
UP000006039	Gaeumannomyces tritici (strain R3-111a-1) (Wheat and barley take-all root rot fungus) (Gaeumannomyces graminis var. tritici)	644352	14597	C:98.1%[S:95.9%,D:2.1%],F:0.7%,M:1.3%,n:3817	Unknown
UP000006310	Huiozyma naganishii (strain ATCC MYA-139 / BCRC 22969 / CBS 8797 / KCTC 17520 / NBRC 10181 / NCYC 3082 / Yp74L-3) (Yeast) (Kazachstania naganishii)	1071383	5301	C:99.2%[S:97.8%,D:1.4%],F:0.3%,M:0.5%,n:2137	Unknown
UP000006352	Fibroporia radiculosa	599839	9251	C:90.7%[S:90.3%,D:0.5%],F:3.0%,M:6.3%,n:4464	Unknown
UP000006564	Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold)	510516	12057	C:83.6%[S:83.3%,D:0.3%],F:5.3%,M:11.0%,n:4191	Unknown
UP000006701	Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107)	344612	9140	C:98.7%[S:98.6%,D:0.1%],F:0.8%,M:0.5%,n:4191	Unknown
UP000006702	Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181) (Aspergillus fischerianus)	331117	10409	C:98.3%[S:98.1%,D:0.2%],F:1.3%,M:0.3%,n:4191	Unknown
UP000006706	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	425011	14069	C:93.6%[S:93.3%,D:0.3%],F:1.9%,M:4.5%,n:4191	Unknown
UP000006753	Marssonina brunnea f. sp. multigermtubi (strain MB_m1) (Marssonina leaf spot fungus)	1072389	10037	C:97.7%[S:97.6%,D:0.1%],F:0.5%,M:1.7%,n:5177	Unknown
UP000006757	Trichosporon asahii var. asahii (strain CBS 8904) (Yeast)	1220162	8515	C:83.5%[S:83.1%,D:0.5%],F:6.6%,M:9.9%,n:4284	Unknown
UP000006790	Eremothecium cymbalariae (strain CBS 270.75 / DBVPG 7215 / KCTC 17166 / NRRL Y-17582) (Yeast)	931890	4429	C:93.9%[S:93.9%,D:0.0%],F:0.1%,M:6.0%,n:2137	Unknown
UP000006911	Tuber melanosporum (strain Mel28) (Perigord black truffle)	656061	7494	C:90.2%[S:89.4%,D:0.8%],F:2.9%,M:6.9%,n:1706	Unknown
UP000006968	Saccharomyces arboricola (strain H-6 / AS 2.3317 / CBS 10644) (Yeast)	1160507	3653	C:74.7%[S:73.7%,D:1.1%],F:0.2%,M:25.0%,n:2137	Unknown
UP000007115	Hypocrea virens (strain Gv29-8 / FGSC 10586) (Gliocladium virens) (Trichoderma virens)	413071	12389	C:98.7%[S:98.3%,D:0.4%],F:0.8%,M:0.5%,n:4494	Unknown
UP000007129	Macrophomina phaseolina (strain MS6) (Charcoal rot fungus)	1126212	13804	C:89.6%[S:89.1%,D:0.5%],F:6.2%,M:4.2%,n:3786	Unknown
UP000007148	Serendipita indica (strain DSM 11827) (Root endophyte fungus) (Piriformospora indica)	1109443	11780	C:88.9%[S:88.5%,D:0.4%],F:2.9%,M:8.2%,n:2898	Unknown
UP000007241	Batrachochytrium dendrobatidis (strain JAM81 / FGSC 10211) (Frog chytrid fungus)	684364	8610	C:89.7%[S:87.9%,D:1.8%],F:2.2%,M:8.0%,n:758	Unknown
UP000007304	Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis)	858893	9391	C:97.3%[S:95.5%,D:1.8%],F:0.7%,M:2.0%,n:6265	Unknown
UP000007322	Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile)	573729	9079	C:95.5%[S:95.4%,D:0.2%],F:2.0%,M:2.5%,n:3817	Unknown
UP000007431	Schizophyllum commune (strain H4-8 / FGSC 9210) (Split gill fungus)	578458	13128	C:91.9%[S:90.8%,D:1.1%],F:4.0%,M:4.2%,n:3870	Unknown
UP000007703	Clavispora lusitaniae (strain ATCC 42720) (Yeast) (Candida lusitaniae)	306902	5932	C:91.8%[S:91.8%,D:0.0%],F:4.9%,M:3.3%,n:2137	Unknown
UP000007796	Grosmannia clavigera (strain kw1407 / UAMH 11150) (Blue stain fungus) (Graphiocladiella clavigera)	655863	8311	C:93.7%[S:93.5%,D:0.2%],F:1.5%,M:4.8%,n:3817	Unknown
UP000007963	Aspergillus terreus (strain NIH 2624 / FGSC A1156)	341663	10417	C:89.8%[S:89.5%,D:0.4%],F:4.4%,M:5.7%,n:4191	Unknown
UP000007978	Fusarium pseudograminearum (strain CS3096) (Wheat and barley crown-rot fungus)	1028729	12448	C:99.0%[S:98.9%,D:0.1%],F:0.3%,M:0.7%,n:4494	Close to standard (low value)
UP000008062	Zymoseptoria tritici (strain CBS 115943 / IPO323) (Speckled leaf blotch fungus) (Septoria tritici)	336722	10973	C:93.4%[S:93.3%,D:0.1%],F:2.5%,M:4.0%,n:3786	Unknown
UP000008063	Serpula lacrymans var. lacrymans (strain S7.3) (Dry rot fungus)	936435	14339	C:88.7%[S:88.1%,D:0.5%],F:4.4%,M:6.9%,n:4878	Unknown
UP000008066	Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) (Thermochaetoides thermophila)	759272	7186	C:93.7%[S:93.6%,D:0.1%],F:1.5%,M:4.8%,n:3817	Unknown
UP000008142	Ajellomyces capsulatus (strain H88) (Darling's disease fungus) (Histoplasma capsulatum)	544711	9445	C:95.5%[S:95.5%,D:0.0%],F:1.8%,M:2.7%,n:4862	Unknown
UP000008177	Botryotinia fuckeliana (strain T4) (Noble rot fungus) (Botrytis cinerea)	999810	16338	C:89.4%[S:89.4%,D:0.0%],F:2.5%,M:8.1%,n:5177	Unknown
UP000008181	Thermothielavioides terrestris (strain ATCC 38088 / NRRL 8126) (Thielavia terrestris)	578455	9760	C:95.5%[S:95.2%,D:0.3%],F:1.9%,M:2.6%,n:3817	Unknown
UP000008370	Phanerochaete carnosa (strain HHB-10118-sp) (White-rot fungus) (Peniophora carnosa)	650164	13867	C:88.6%[S:87.4%,D:1.2%],F:4.5%,M:6.9%,n:4464	Unknown
UP000008493	Agaricus bisporus var. burnettii (strain JB137-S8 / ATCC MYA-4627 / FGSC 10392) (White button mushroom)	597362	11211	C:92.2%[S:91.6%,D:0.6%],F:1.8%,M:5.9%,n:3870	Unknown
UP000008536	Zygosaccharomyces rouxii (strain ATCC 2623 / CBS 732 / NBRC 1130 / NCYC 568 / NRRL Y-229)	559307	4987	C:99.8%[S:99.6%,D:0.2%],F:0.1%,M:0.1%,n:2137	Unknown
UP000008673	Ogataea parapolymorpha (strain ATCC 26012 / BCRC 20466 / JCM 22074 / NRRL Y-7560 / DL-1) (Yeast) (Hansenula polymorpha)	871575	5338	C:96.5%[S:96.5%,D:0.0%],F:1.7%,M:1.8%,n:2137	Unknown
UP000008698	Verticillium alfalfae (strain VaMs.102 / ATCC MYA-4576 / FGSC 10136) (Verticillium wilt of alfalfa) (Verticillium albo-atrum)	526221	10233	C:63.8%[S:63.4%,D:0.4%],F:6.0%,M:30.3%,n:6841	Unknown
UP000008782	Colletotrichum graminicola (strain M1.001 / M2 / FGSC 10212) (Maize anthracnose fungus) (Glomerella graminicola)	645133	12019	C:98.5%[S:98.5%,D:0.1%],F:0.9%,M:0.6%,n:6841	Unknown
UP000008783	Puccinia graminis f. sp. tritici (strain CRL 75-36-700-3 / race SCCL) (Black stem rust fungus)	418459	15808	C:91.8%[S:83.0%,D:8.8%],F:2.0%,M:6.2%,n:1764	Unknown
UP000008784	Arthrobotrys oligospora (strain ATCC 24927 / CBS 115.81 / DSM 1491) (Nematode-trapping fungus) (Didymozoophaga oligospora)	756982	11478	C:96.1%[S:95.9%,D:0.2%],F:1.4%,M:2.5%,n:1706	Unknown
UP000008837	Malassezia globosa (strain ATCC MYA-4612 / CBS 7966) (Dandruff-associated fungus)	425265	4271	C:73.8%[S:73.7%,D:0.1%],F:8.7%,M:17.6%,n:1764	Unknown
UP000008864	Trichophyton rubrum (strain ATCC MYA-4607 / CBS 118892) (Athlete's foot fungus)	559305	10005	C:84.4%[S:74.9%,D:9.4%],F:8.3%,M:7.3%,n:4862	Unknown
UP000008866	Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	663331	7976	C:88.0%[S:88.0%,D:0.0%],F:4.9%,M:7.1%,n:4862	Unknown
UP000008984	Hypocrea jecorina (strain QM6a) (Trichoderma reesei)	431241	9115	C:97.2%[S:97.1%,D:0.1%],F:1.1%,M:1.7%,n:4494	Unknown
UP000009058	Pyricularia oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Magnaporthe oryzae)	242507	12794	C:98.6%[S:97.1%,D:1.5%],F:0.3%,M:1.0%,n:3817	Unknown
UP000009082	Vairimorpha ceranae (strain BRL01) (Microsporidian parasite) (Nosema ceranae)	578460	2060	C:84.7%[S:84.5%,D:0.2%],F:2.5%,M:12.8%,n:600	Unknown
UP000009096	Gibberella moniliformis (strain M3125 / FGSC 7600) (Maize ear and stalk rot fungus) (Fusarium verticillioides)	334819	17875	C:98.7%[S:73.4%,D:25.3%],F:1.0%,M:0.3%,n:4494	Unknown
UP000009097	Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936) (Fusarium vascular wilt of tomato)	426428	23097	C:95.3%[S:67.9%,D:27.5%],F:2.2%,M:2.5%,n:4494	Unknown
UP000009131	Mixia osmundae (strain CBS 9802 / IAM 14324 / JCM 22182 / KY 12970)	764103	6725	C:94.6%[S:92.6%,D:2.0%],F:0.6%,M:4.8%,n:1764	Unknown
UP000009138	Rhizopus delemar (strain RA 99-880 / ATCC MYA-4621 / FGSC 9543 / NRRL 43880) (Mucormycosis agent) (Rhizopus arrhizus var. delemar)	246409	16971	C:80.2%[S:75.9%,D:4.4%],F:13.6%,M:6.2%,n:2449	Unknown
UP000009297	Ajellomyces capsulatus (strain NAm1 / WU24) (Darling's disease fungus) (Histoplasma capsulatum)	2059318	9252	C:80.8%[S:80.7%,D:0.1%],F:12.4%,M:6.8%,n:4862	Unknown
UP000009328	Wickerhamomyces ciferrii (strain ATCC 14091 / BCRC 22168 / CBS 111 / JCM 3599 / NBRC 0793 / NRRL Y-1031 F-60-10) (Yeast) (Pichia ciferrii)	1206466	6698	C:95.8%[S:95.5%,D:0.3%],F:1.7%,M:2.5%,n:2137	Unknown
UP000009882	Penicillium digitatum (strain PHI26 / CECT 20796) (Green mold)	1170229	9101	C:94.9%[S:94.8%,D:0.1%],F:3.0%,M:2.1%,n:4191	Outlier (low value)
UP000010422	Pneumocystis jirovecii (Human pneumocystis pneumonia agent)	42068	3419	C:51.7%[S:47.8%,D:3.9%],F:8.0%,M:40.3%,n:1706	Unknown
UP000011064	Pseudogymnoascus destructans (strain ATCC MYA-4855 / 20631-21) (Bat white-nose syndrome fungus) (Geomyces destructans)	658429	9122	C:97.6%[S:96.8%,D:0.8%],F:2.0%,M:0.4%,n:3234	Unknown
UP000011081	Vavraia culicis (isolate floridensis) (Microsporidian parasite)	948595	2768	C:96.0%[S:95.3%,D:0.7%],F:1.8%,M:2.2%,n:600	Unknown
UP000011082	Vittaforma corneae (strain ATCC 50505) (Microsporidian parasite) (Nosema corneum)	993615	2236	C:75.0%[S:73.8%,D:1.2%],F:3.7%,M:21.3%,n:600	Unknown
UP000011096	Colletotrichum fructicola (strain Nara gc5) (Anthracnose fungus) (Colletotrichum gloeosporioides (strain Nara gc5))	1213859	17182	C:98.2%[S:98.1%,D:0.1%],F:0.7%,M:1.1%,n:6841	Unknown
UP000011185	Trachipleistophora hominis (Microsporidian parasite)	72359	3212	C:83.2%[S:83.2%,D:0.0%],F:5.0%,M:11.8%,n:600	Unknown
UP000011668	Thanatephorus cucumeris (strain AG1-IA) (Rice sheath blight fungus) (Rhizoctonia solani)	983506	10482	C:55.7%[S:55.5%,D:0.3%],F:8.9%,M:35.4%,n:2898	Unknown
UP000011715	Magnaporthiopsis poae (strain ATCC 64411 / 73-15) (Kentucky bluegrass fungus) (Magnaporthe poae)	644358	11303	C:76.1%[S:74.8%,D:1.3%],F:7.1%,M:16.8%,n:3817	Unknown
UP000011761	Baudoinia panamericana (strain UAMH 10762) (Angels' share fungus) (Baudoinia compniacensis (strain UAMH 10762))	717646	10508	C:95.4%[S:95.2%,D:0.1%],F:2.3%,M:2.4%,n:3786	Unknown
UP000011777	Candida maltosa (strain Xu316) (Yeast)	1245528	5976	C:87.4%[S:87.2%,D:0.2%],F:1.9%,M:10.7%,n:1706	Unknown
UP000011958	Pneumocystis murina (strain B123) (Mouse pneumocystis pneumonia agent) (Pneumocystis carinii f. sp. muris)	1069680	3635	C:75.9%[S:75.8%,D:0.1%],F:1.6%,M:22.5%,n:1706	Unknown
