Organism.GOLD Organism ID,Organism.Organism Name,Organism.Domain,Organism.Species,Organism.Phylum,Organism.NCBI Taxonomy ID,Organism.Type Strain,Organism.Organism Type,Organism.Add Date,Organism.NCBI Phylum,Organism.NCBI Class,Organism.NCBI Order,Organism.NCBI Family,Organism.NCBI Genus,Organism.NCBI Species,Organism.Cell Diameter,Organism.Cell Shape,Organism.Color,Organism.Gram Stain,Organism.Motility,Organism.Oxygen Requirement,Organism.pH,Organism.pH2,Organism.Salinity,Organism.Pressure,Organism.Sporulation,Organism.Carbon Source,Organism.Growth Temperature,Organism.Growth Temperature2,Organism.Cell Length,Organism.Commercial Strain,Organism.Commercial Strain Comments,Organism.Propagation,Organism.Sample Collection Site,Organism.Isolation Country/Ocean.Term,Organism.Collection Method,Organism.Ecosystem,Organism.Ecosystem Category,Organism.Ecosystem Type,Organism.Geographic Location,Organism.Latitude,Organism.Longitude,Organism.Altitude,Organism.Elevation,Organism.Depth,Organism.Subsurface Depth,Organism.Temperature Range,Organism.Isolation Host Name,Organism.Host Taxonomy ID,Organism.Host Gender,Organism.Host Body Site,Organism.Host Body Product,Organism.Host Specificity or Range,Organism.Host Comments
Go0705546,Wickerhamiella parazyma NRRL Y-48669,EUKARYAL,Wickerhamiella parazyma,FUNGI-ASCOMYCOTA,926563,Yes,Natural,Ascomycota,Dipodascomycetes,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella parazyma,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705522,Candida galis NRRL Y-48037,EUKARYAL,Candida galis,FUNGI-ASCOMYCOTA,3379938,Yes,Natural,Ascomycota,Saccharomycetes,Phaffomycetales,Phaffomycetaceae,Millerago,Millerago galiae,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705515,Pichia manshurica NRRL Y-27978,EUKARYAL,Pichia manshurica,FUNGI-ASCOMYCOTA,121235,Yes,Natural,Ascomycota,Pichiomycetes,Pichiales,Pichiaceae,Pichia,Pichia manshurica,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705506,Metschnikowia shivogae NRRL Y-27924,EUKARYAL,Metschnikowia shivogae,FUNGI-ASCOMYCOTA,353899,Yes,Natural,Ascomycota,Pichiomycetes,Serinales,Metschnikowiaceae,Metschnikowia,Metschnikowia shivogae,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705456,Suhomyces taliae NRRL Y-27589,EUKARYAL,Suhomyces taliae,FUNGI-ASCOMYCOTA,234523,Yes,Natural,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Suhomyces,Suhomyces taliae,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705439,Hanseniaspora opuntiae NRRL Y-27512,EUKARYAL,Hanseniaspora opuntiae,FUNGI-ASCOMYCOTA,211096,Yes,Natural,Ascomycota,Saccharomycetes,Saccharomycodales,Saccharomycodaceae,Hanseniaspora,Hanseniaspora opuntiae,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705432,Metschnikowia kipukae NRRL Y-27474,EUKARYAL,Metschnikowia kipukae,FUNGI-ASCOMYCOTA,197673,Yes,Natural,Ascomycota,Pichiomycetes,Serinales,Metschnikowiaceae,Metschnikowia,Metschnikowia kipukae,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705429,Candida ipomoeae NRRL Y-27455,EUKARYAL,Candida ipomoeae,FUNGI-ASCOMYCOTA,1807681,Yes,Natural,Ascomycota,Pichiomycetes,Serinales,Metschnikowiaceae,Metschnikowia,[Candida] ipomoeae,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705412,Groenewaldozyma tartarivorans NRRL Y-27291,EUKARYAL,Groenewaldozyma tartarivorans,FUNGI-ASCOMYCOTA,98667,Yes,Natural,Ascomycota,Dipodascomycetes,Dipodascales,Trichomonascaceae,Groenewaldozyma,Groenewaldozyma tartarivorans,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705396,Zygoascus polysorbophila NRRL Y-27161,EUKARYAL,Zygoascus polysorbophila,FUNGI-ASCOMYCOTA,1912490,Yes,Natural,Ascomycota,Dipodascomycetes,Dipodascales,Trichomonascaceae,Zygoascus,Zygoascus polysorbophila,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705360,Suhomyces kilbournensis NRRL Y-17864,EUKARYAL,Suhomyces kilbournensis,FUNGI-ASCOMYCOTA,1810333,Yes,Natural,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Suhomyces,Suhomyces kilbournensis,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705353,Sungouiella tsuchiyae NRRL Y-17840,EUKARYAL,Sungouiella tsuchiyae,FUNGI-ASCOMYCOTA,46168,Yes,Natural,Ascomycota,Pichiomycetes,Serinales,Metschnikowiaceae,Sungouiella,Sungouiella tsuchiyae,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705351,Metschnikowia gruessii NRRL Y-17809,EUKARYAL,Metschnikowia gruessii,FUNGI-ASCOMYCOTA,45517,Yes,Natural,Ascomycota,Pichiomycetes,Serinales,Metschnikowiaceae,Metschnikowia,Metschnikowia gruessii,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705347,Candida railenensis NRRL Y-17762,EUKARYAL,Candida railenensis,FUNGI-ASCOMYCOTA,45579,Yes,Natural,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Kurtzmaniella,[Candida] railenensis,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705336,Soucietia sequanensis NRRL Y-17682,EUKARYAL,Soucietia sequanensis,FUNGI-ASCOMYCOTA,45588,Yes,Natural,Ascomycota,Pichiomycetes,Serinales,Metschnikowiaceae,Soucietia,Soucietia sequanensis,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705334,Kurtzmaniella natalensis NRRL Y-17680,EUKARYAL,Kurtzmaniella natalensis,FUNGI-ASCOMYCOTA,45571,Yes,Natural,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Kurtzmaniella,Kurtzmaniella natalensis,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705325,Ogataea pignaliae NRRL Y-17664,EUKARYAL,Ogataea pignaliae,FUNGI-ASCOMYCOTA,51923,Yes,Natural,Ascomycota,Pichiomycetes,Pichiales,Pichiaceae,Ogataea,Ogataea pignaliae,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705323,Candida norvegica NRRL Y-17660,EUKARYAL,Candida norvegica,FUNGI-ASCOMYCOTA,49330,Yes,Natural,Ascomycota,Saccharomycetes,Phaffomycetales,Phaffomycetaceae,Barnettozyma,[Candida] norvegica,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705310,Ascoidea asiatica NRRL Y-17632,EUKARYAL,Ascoidea asiatica,FUNGI-ASCOMYCOTA,1301101,Yes,Natural,Ascomycota,Saccharomycetes,Ascoideales,Ascoideaceae,Ascoidea,Ascoidea asiatica,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705308,Ambrosiozyma cicatricosa NRRL Y-17594,EUKARYAL,Ambrosiozyma cicatricosa,FUNGI-ASCOMYCOTA,44082,Yes,Natural,Ascomycota,Pichiomycetes,Pichiales,Pichiaceae,Ambrosiozyma,Ambrosiozyma cicatricosa,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705289,Starmera caribaea NRRL Y-17468,EUKARYAL,Starmera caribaea,FUNGI-ASCOMYCOTA,53644,Yes,Natural,Ascomycota,Saccharomycetes,Phaffomycetales,Phaffomycetaceae,Starmera,Starmera caribaea,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705287,Zygoascus tannicola NRRL Y-17392,EUKARYAL,Zygoascus tannicola,FUNGI-ASCOMYCOTA,45514,Yes,Natural,Ascomycota,Dipodascomycetes,Dipodascales,Trichomonascaceae,Zygoascus,Zygoascus tannicola,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705280,Pichia pseudolambica NRRL Y-17318,EUKARYAL,Pichia pseudolambica,FUNGI-ASCOMYCOTA,52248,Yes,Natural,Ascomycota,Pichiomycetes,Pichiales,Pichiaceae,Pichia,Pichia pseudolambica,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705267,Wickerhamiella pararugosa NRRL Y-17089,EUKARYAL,Wickerhamiella pararugosa,FUNGI-ASCOMYCOTA,49331,Yes,Natural,Ascomycota,Dipodascomycetes,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella pararugosa,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705263,Candida boleticola NRRL Y-17080,EUKARYAL,Candida boleticola,FUNGI-ASCOMYCOTA,45525,Yes,Natural,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Kurtzmaniella,[Candida] boleticola,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705250,Hanseniaspora valbyensis NRRL Y-1626,EUKARYAL,Hanseniaspora valbyensis,FUNGI-ASCOMYCOTA,53685,Yes,Natural,Ascomycota,Saccharomycetes,Saccharomycodales,Saccharomycodaceae,Hanseniaspora,Hanseniaspora valbyensis,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705208,Candida buinensis NRRL Y-11706,EUKARYAL,Candida buinensis,FUNGI-ASCOMYCOTA,45529,Yes,Natural,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Yamadazyma,[Candida] buinensis,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705157,Starmerella powellii CBS 8795,EUKARYAL,Starmerella powellii,FUNGI-ASCOMYCOTA,121467,Yes,Natural,Ascomycota,Dipodascomycetes,Dipodascales,Trichomonascaceae,Starmerella,Starmerella powellii (nom. inval.),,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705149,Australozyma robnettiae CBS 8580,EUKARYAL,Australozyma robnettiae,FUNGI-ASCOMYCOTA,1041605,Yes,Natural,Ascomycota,Pichiomycetes,Serinales,Metschnikowiaceae,Australozyma,Australozyma robnettiae,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705137,Geotrichum citri-aurantii CBS 176.89,EUKARYAL,Geotrichum citri-aurantii,FUNGI-ASCOMYCOTA,58640,Yes,Natural,Ascomycota,Dipodascomycetes,Dipodascales,Dipodascaceae,Geotrichum,Geotrichum citri-aurantii,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705051,Australozyma saccharicola CBS 12575,EUKARYAL,Australozyma saccharicola,FUNGI-ASCOMYCOTA,1217583,Yes,Natural,Ascomycota,Pichiomycetes,Serinales,Metschnikowiaceae,Australozyma,Australozyma saccharicola,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0704984,Saturnispora halmiae CBS 11009,EUKARYAL,Saturnispora halmiae,FUNGI-ASCOMYCOTA,380880,Yes,Natural,Ascomycota,Pichiomycetes,Pichiales,Pichiaceae,Saturnispora,Saturnispora halmiae,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0704981,Saturnispora sekii CBS 10931,EUKARYAL,Saturnispora sekii,FUNGI-ASCOMYCOTA,635123,Yes,Natural,Ascomycota,Pichiomycetes,Pichiales,Pichiaceae,Saturnispora,Saturnispora sekii,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0704971,Candida pseudocylindracea CBS 10854,EUKARYAL,Candida pseudocylindracea,FUNGI-ASCOMYCOTA,2861706,Yes,Natural,Ascomycota,Pichiomycetes,Serinales,,Candida/Serinales incertae sedis,[Candida] pseudocylindracea,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0704966,Metschnikowia pulcherrima CBS 10809,EUKARYAL,Metschnikowia pulcherrima,FUNGI-ASCOMYCOTA,27326,Yes,Natural,Ascomycota,Pichiomycetes,Serinales,Metschnikowiaceae,Metschnikowia,Metschnikowia pulcherrima,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0704956,Wickerhamiella azymoides CBS 10508,EUKARYAL,Wickerhamiella azymoides,FUNGI-ASCOMYCOTA,406256,Yes,Natural,Ascomycota,Dipodascomycetes,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella azymoides,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0631169,Candida auris JCM 15448,EUKARYAL,Candida auris,FUNGI-ASCOMYCOTA,498019,Yes,Natural,Ascomycota,Pichiomycetes,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,,,,,,,,,,,,,,,,,,,,Japan,,Host-associated,Mammals: Human,Unclassified,Japan: Tokyo,,,,,,,,Homo sapiens,9606,,,,,,
Go0630472,Rhodotorula psychrophila BP19,EUKARYAL,Rhodotorula psychrophila,FUNGI-BASIDIOMYCOTA,418499,Yes,Natural,Basidiomycota,Microbotryomycetes,Kriegeriales,Kriegeriaceae,Phenoliferia,Phenoliferia psychrophila,,,,,,,,,,,,,,,,,,,soil,Austria,,Environmental,Terrestrial,Soil,,,,,,,,Psychrophile,,,,,,,,
Go0630471,Rhodotorula psychrophila CBS 10440,EUKARYAL,Rhodotorula psychrophila,FUNGI-BASIDIOMYCOTA,418499,Yes,Natural,Basidiomycota,Microbotryomycetes,Kriegeriales,Kriegeriaceae,Phenoliferia,Phenoliferia psychrophila,,,,,,,,,,,,,,,,,,,soil,Austria,,Environmental,Terrestrial,Soil,,,,,,,,Psychrophile,,,,,,,,
Go0630470,Rhodotorula psychrophila DSM 18768,EUKARYAL,Rhodotorula psychrophila,FUNGI-BASIDIOMYCOTA,418499,Yes,Natural,Basidiomycota,Microbotryomycetes,Kriegeriales,Kriegeriaceae,Phenoliferia,Phenoliferia psychrophila,,,,,,,,,,,,,,,,,,,soil,Austria,,Environmental,Terrestrial,Soil,,,,,,,,Psychrophile,,,,,,,,
Go0630469,Rhodotorula psychrophenolica CBS 10438,EUKARYAL,Rhodotorula psychrophenolica,FUNGI-BASIDIOMYCOTA,418498,Yes,Natural,Basidiomycota,Microbotryomycetes,Kriegeriales,Kriegeriaceae,Phenoliferia,Phenoliferia psychrophenolica,,,,,,,,,,,,,,,,,,,glacier mud,Austria,,Environmental,Aquatic,Freshwater,,,,,,,,Psychrophile,,,,,,,,
Go0630468,Rhodotorula psychrophenolica DSM 18767,EUKARYAL,Rhodotorula psychrophenolica,FUNGI-BASIDIOMYCOTA,418498,Yes,Natural,Basidiomycota,Microbotryomycetes,Kriegeriales,Kriegeriaceae,Phenoliferia,Phenoliferia psychrophenolica,,,,,,,,,,,,,,,,,,,glacier mud,Austria,,Environmental,Aquatic,Freshwater,,,,,,,,Psychrophile,,,,,,,,
Go0630467,Rhodotorula glacialis CBS 10436,EUKARYAL,Rhodotorula glacialis,FUNGI-BASIDIOMYCOTA,418497,Yes,Natural,Basidiomycota,Microbotryomycetes,Kriegeriales,Kriegeriaceae,Phenoliferia,Phenoliferia glacialis,,,,,,,,,,,,,,,,,,,glacier cryoconite,Austria,,Environmental,Aquatic,Freshwater,,,,,,,,Psychrophile,,,,,,,,
Go0630466,Rhodotorula glacialis DSM 18766,EUKARYAL,Rhodotorula glacialis,FUNGI-BASIDIOMYCOTA,418497,Yes,Natural,Basidiomycota,Microbotryomycetes,Kriegeriales,Kriegeriaceae,Phenoliferia,Phenoliferia glacialis,,,,,,,,,,,,,,,,,,,glacier cryoconite,Austria,,Environmental,Aquatic,Freshwater,,,,,,,,Psychrophile,,,,,,,,
Go0630448,Sympodiomycopsis lanaiensis ATCC MYA-4092,EUKARYAL,Sympodiomycopsis lanaiensis,FUNGI-BASIDIOMYCOTA,748567,Yes,Natural,Basidiomycota,Exobasidiomycetes,Microstromatales,,Jaminaea,Jaminaea lanaiensis,,,,,,,,,,,,,,,,,,,driftwood,USA,,Host-associated,Plants,Wood,,,,,,,,Mesophile,,,,,,,,
Go0630447,Sympodiomycopsis lanaiensis CBS 10858,EUKARYAL,Sympodiomycopsis lanaiensis,FUNGI-BASIDIOMYCOTA,748567,Yes,Natural,Basidiomycota,Exobasidiomycetes,Microstromatales,,Jaminaea,Jaminaea lanaiensis,,,,,,,,,,,,,,,,,,,driftwood,USA,,Host-associated,Plants,Wood,,,,,,,,Mesophile,,,,,,,,
Go0630446,Sympodiomycopsis lanaiensis DSM 18755,EUKARYAL,Sympodiomycopsis lanaiensis,FUNGI-BASIDIOMYCOTA,748567,Yes,Natural,Basidiomycota,Exobasidiomycetes,Microstromatales,,Jaminaea,Jaminaea lanaiensis,,,,,,,,,,,,,,,,,,,driftwood,USA,,Host-associated,Plants,Wood,,,,,,,,Mesophile,,,,,,,,
Go0630445,Sympodiomycopsis lanaiensis NRRL Y-48466,EUKARYAL,Sympodiomycopsis lanaiensis,FUNGI-BASIDIOMYCOTA,748567,Yes,Natural,Basidiomycota,Exobasidiomycetes,Microstromatales,,Jaminaea,Jaminaea lanaiensis,,,,,,,,,,,,,,,,,,,driftwood,USA,,Host-associated,Plants,Wood,,,,,,,,Mesophile,,,,,,,,
Go0630380,Eurotium glabrum CBS 379.75,EUKARYAL,Eurotium glabrum,FUNGI-ASCOMYCOTA,1405805,Yes,Natural,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pseudoglaucus,,,,,,,,,,,,,,,,,,,"Vaccinium myrtillus, leaf",Switzerland,,Host-associated,Plants,Phyllosphere,,,,,,,,Mesophile,,,,,,,,
Go0630379,Eurotium glabrum CMI 278373,EUKARYAL,Eurotium glabrum,FUNGI-ASCOMYCOTA,1405805,Yes,Natural,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pseudoglaucus,,,,,,,,,,,,,,,,,,,"Vaccinium myrtillus, leaf",Switzerland,,Host-associated,Plants,Phyllosphere,,,,,,,,Mesophile,,,,,,,,
Go0630378,Eurotium glabrum DSM 1370,EUKARYAL,Eurotium glabrum,FUNGI-ASCOMYCOTA,1405805,Yes,Natural,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pseudoglaucus,,,,,,,,,,,,,,,,,,,"Vaccinium myrtillus, leaf",Switzerland,,Host-associated,Plants,Phyllosphere,,,,,,,,Mesophile,,,,,,,,
Go0630377,Eurotium glabrum ETH 8218,EUKARYAL,Eurotium glabrum,FUNGI-ASCOMYCOTA,1405805,Yes,Natural,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pseudoglaucus,,,,,,,,,,,,,,,,,,,"Vaccinium myrtillus, leaf",Switzerland,,Host-associated,Plants,Phyllosphere,,,,,,,,Mesophile,,,,,,,,
Go0630376,Eurotium glabrum IMI 278373,EUKARYAL,Eurotium glabrum,FUNGI-ASCOMYCOTA,1405805,Yes,Natural,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pseudoglaucus,,,,,,,,,,,,,,,,,,,"Vaccinium myrtillus, leaf",Switzerland,,Host-associated,Plants,Phyllosphere,,,,,,,,Mesophile,,,,,,,,
Go0630375,Eurotium glabrum PIL 619,EUKARYAL,Eurotium glabrum,FUNGI-ASCOMYCOTA,1405805,Yes,Natural,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pseudoglaucus,,,,,,,,,,,,,,,,,,,"Vaccinium myrtillus, leaf",Switzerland,,Host-associated,Plants,Phyllosphere,,,,,,,,Mesophile,,,,,,,,
Go0630374,Eurotium glabrum ZT 8218,EUKARYAL,Eurotium glabrum,FUNGI-ASCOMYCOTA,1405805,Yes,Natural,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pseudoglaucus,,,,,,,,,,,,,,,,,,,"Vaccinium myrtillus, leaf",Switzerland,,Host-associated,Plants,Phyllosphere,,,,,,,,Mesophile,,,,,,,,
Go0630366,Raffaelea tritirachium ATCC 18096,EUKARYAL,Raffaelea tritirachium,FUNGI-ASCOMYCOTA,45345,Yes,Natural,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Raffaelea,Raffaelea tritirachium,,,,,,,,,,,,,,,,,,,tunnels of Monarthrum mali in Quercus sp.,USA,,,,,,,,,,,,Mesophile,,,,,,,,
Go0630365,Raffaelea tritirachium CBS 726.69,EUKARYAL,Raffaelea tritirachium,FUNGI-ASCOMYCOTA,45345,Yes,Natural,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Raffaelea,Raffaelea tritirachium,,,,,,,,,,,,,,,,,,,tunnels of Monarthrum mali in Quercus sp.,USA,,,,,,,,,,,,Mesophile,,,,,,,,
